WKT,id,
"LINESTRING (694436.627832913189195 6865752.885030994191766,694479.470380219863728 6865744.337329715490341,694648.304795821779408 6865710.152045181021094)",1
"LINESTRING (694648.304795821779408 6865710.152045181021094,694737.629356260411441 6865686.273679829202592)",2
"LINESTRING (693372.054171958239749 6864938.84476060885936,693365.659914469928481 6864958.500751211307943,693356.011758661828935 6864999.154654301702976,693349.923391718766652 6865036.023766625672579)",3
"LINESTRING (693349.923391718766652 6865036.023766625672579,693349.530137833789922 6865038.414974771440029,693346.003096047090366 6865070.577486204914749,693347.320173365762457 6865099.954490002244711,693354.838519433513284 6865203.727026396431029,693328.54106592934113 6865336.627982222475111)",4
"LINESTRING (693328.54106592934113 6865336.627982222475111,693317.994837134727277 6865405.013332592323422)",5
"LINESTRING (694096.994536363868974 6865890.198567507788539,694155.066314394818619 6865858.189560081809759,694249.843227651203051 6865806.198230007663369,694317.31483541300986 6865783.013414656743407)",6
"LINESTRING (694317.31483541300986 6865783.013414656743407,694352.095366419875063 6865771.070008795708418,694386.982758669415489 6865763.318897410295904,694436.627832913189195 6865752.885030994191766)",7
"LINESTRING (693362.780809327843599 6864496.053830881603062,693311.522855907096528 6864544.362648798152804)",8
"LINESTRING (693311.522855907096528 6864544.362648798152804,693265.127537579275668 6864588.087737068533897)",9
"LINESTRING (693311.522855907096528 6864544.362648798152804,693350.201614514342509 6864588.596969458274543,693363.08394085674081 6864611.277617024257779,693440.621356808580458 6864756.980516852810979,693465.210629728389904 6864808.44839137326926,693463.047019106918015 6864821.271936538629234,693405.95231726882048 6864896.306235545314848,693372.054171958239749 6864938.84476060885936)",10
"LINESTRING (695268.26967190450523 6865769.211776351556182,695244.934444278478622 6865764.329893222078681)",11
"LINESTRING (694493.223665443481877 6866019.374277790077031,694561.644364410662092 6866001.26203185133636,694672.560843617306091 6865997.244708360172808,694678.026835942990147 6865993.147564536891878)",12
"LINESTRING (694678.026835942990147 6865993.147564536891878,694688.277425438514911 6865985.465432465076447,694720.522853502887301 6865976.017399245873094,694729.167637774720788 6865968.170007055625319,694732.299760700436309 6865945.415884248912334,694731.485047445166856 6865920.319063846021891,694732.270501302671619 6865913.257228375412524,694735.726494630915113 6865907.961024645715952,694746.619897522032261 6865905.438038504682481)",13
"LINESTRING (694746.619897522032261 6865905.438038504682481,694915.605694137280807 6865905.264932992868125)",14
"LINESTRING (694943.313450434943661 6865610.564366262406111,694910.473871220950969 6865497.370909875258803,694908.041674613719806 6865416.576341467909515)",15
"LINESTRING (694908.041674613719806 6865416.576341467909515,694909.556853724760003 6865346.75362066924572,694910.81522824219428 6865335.121180225163698)",16
"LINESTRING (694840.403265427798033 6866280.283071266487241,694887.057157445698977 6866298.359269726090133)",17
"LINESTRING (694746.619897522032261 6865905.438038504682481,694752.322902718791738 6865831.007571517489851,694751.20503743714653 6865794.95798010379076,694741.793632591608912 6865685.624944940209389)",18
"LINESTRING (695244.934444278478622 6865764.329893222078681,695248.716495416592807 6865780.406107711605728,695253.198945627780631 6865790.130913919769228)",19
"LINESTRING (694436.627832913189195 6865752.885030994191766,694474.262705566710792 6865934.681088793091476,694493.223665443481877 6866019.374277790077031)",20
"LINESTRING (694943.313450434943661 6865610.564366262406111,694952.30051354051102 6865649.50935450848192,694953.896152087603696 6865671.469670369289815,694949.187200153828599 6865686.596776630729437)",21
"LINESTRING (694949.187200153828599 6865686.596776630729437,695027.510515032801777 6865675.097772302106023)",22
"LINESTRING (694915.605694137280807 6865905.264932992868125,694921.223248113994487 6866090.361563613638282,694921.261086837854236 6866133.495594337582588,694918.128081986913458 6866147.620610667392612,694907.577618297422305 6866172.827568236738443,694892.438113350654021 6866198.728030914440751,694840.403265427798033 6866280.283071266487241)",23
"LINESTRING (694840.403265427798033 6866280.283071266487241,694806.975302987848409 6866332.396665120497346)",24
"LINESTRING (694591.916856712894514 6865598.994804489426315,694258.10668760293629 6865421.598950697109103,694136.69718094507698 6865356.847542632371187)",25
"LINESTRING (694136.69718094507698 6865356.847542632371187,693920.313272109138779 6865241.435687054879963)",26
"LINESTRING (693920.313272109138779 6865241.435687054879963,693401.953178325318731 6864965.01996036246419,693372.054171958239749 6864938.84476060885936)",27
"LINESTRING (695165.979981033015065 6865519.525069481693208,695200.346504058572464 6865632.184972708113492,695205.717911373125389 6865672.389901447109878)",28
"LINESTRING (694983.269383103819564 6865602.756835951469839,694996.299565357505344 6865585.932354406453669,695165.979981033015065 6865519.525069481693208)",29
"LINESTRING (695165.979981033015065 6865519.525069481693208,695240.268827604479156 6865485.136588219553232,695304.107771342853084 6865448.856044819578528)",30
"LINESTRING (694591.916856712894514 6865598.994804489426315,694726.912102797999978 6865673.328801,694737.629356260411441 6865686.273679829202592)",31
"LINESTRING (693372.054171958239749 6864938.84476060885936,693208.744478554464877 6864756.758539291098714,693193.697822550311685 6864736.762424001470208)",32
"LINESTRING (694913.530388805782422 6865621.165428816340864,694919.728091806988232 6865639.774614421650767,694922.195676174247637 6865652.515798209235072,694927.120504714199342 6865666.233377904631197,694936.386545935529284 6865688.776328900828958,694938.81266702839639 6865696.09107185062021)",33
"LINESTRING (694678.026835942990147 6865993.147564536891878,694679.213883725693449 6866024.237668348476291,694679.241271890816279 6866054.038938969373703,694680.037693647434935 6866066.981757232919335,694673.977252759505063 6866102.281862213276327,694667.911909761256538 6866140.139564336277544,694667.132811867166311 6866146.022706918418407,694668.51590311806649 6866151.114345666952431)",34
"LINESTRING (694668.51590311806649 6866151.114345666952431,694673.432623984408565 6866155.824656272307038,694680.517945387517102 6866158.753794663585722,694695.075374135281891 6866162.665761106647551,694703.134027859545313 6866163.636933502741158,694710.612920492189005 6866164.019292186014354,694765.677781377336942 6866166.515702006407082,694773.547746077412739 6866169.655523167923093,694779.857067921198905 6866190.232764198444784,694781.457455178489909 6866216.896844784729183,694787.565395057899877 6866233.760235643014312,694793.476672687800601 6866243.951868928037584,694806.866578723303974 6866262.565684789791703,694817.491766881896183 6866272.363921652548015,694828.707632125820965 6866278.625520293600857,694840.403265427798033 6866280.283071266487241)",35
"LINESTRING (695244.934444278478622 6865764.329893222078681,695232.298904884140939 6865753.242663965560496,695225.357068629469723 6865737.847379943355918,695220.942158273654059 6865719.13630258012563,695213.651714578969404 6865690.141742635518312,695205.717911373125389 6865672.389901447109878)",36
