X,Y,PDOP_maxim,HDOP_max,Type_de_co,Type_de_r�,Date_GPS,Heure_GPS,Etat_de_mi,Nom_de_car,Fichiers_d,Positions_,Positions2,Nom_du_dic,Semaine_GP,Seconde_GP,Hauteur_GN,Pr�cisio,Pr�cis_1,D�v_std,Latitude,Longitude,ID_Point
693407.806219950201921,6864694.441828466020525,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:00:34,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374450.000,108.116,3.2,3.2,,48.882233955,2.910111713,684985
693407.811669891467318,6864694.437306540086865,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:00:35,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374451.000,108.104,3.2,3.2,,48.882233914,2.910111788,684986
693407.815930563141592,6864694.428020313382149,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:00:36,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374452.000,108.076,3.2,3.2,,48.882233831,2.910111846,684987
693407.813638840219937,6864694.429737062193453,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:00:37,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374453.000,108.077,3.2,3.2,,48.882233846,2.910111815,684988
693407.811942596570589,6864694.434301238507032,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:00:38,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374454.000,108.084,3.2,3.2,,48.882233887,2.910111792,684989
693407.811769260675646,6864694.433397344313562,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:00:39,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374455.000,108.093,3.2,3.2,,48.882233879,2.910111789,684990
693407.811467555351555,6864694.436288606375456,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:00:40,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374456.000,108.104,3.2,3.2,,48.882233905,2.910111785,684991
693407.817356841638684,6864694.346930115483701,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:00:41,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374457.000,108.146,3.1,3.0,,48.882233102,2.910111867,684992
693407.871197875239886,6864694.014075153507292,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:00:42,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374458.000,108.447,3.1,3.0,,48.882230109,2.910112606,684993
693407.918792221695185,6864693.795396624132991,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:00:43,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374459.000,108.614,3.1,3.0,,48.882228143,2.910113258,684994
693407.933956322958693,6864693.66982477158308,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:00:44,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374460.000,108.732,3.1,3.0,,48.882227014,2.910113467,684995
693407.95017751888372,6864693.595567650161684,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:00:45,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374461.000,108.768,3.1,3.0,,48.882226346,2.910113689,684996
693407.961430014693178,6864693.549940817058086,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:00:46,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374462.000,108.790,3.1,3.0,,48.882225936,2.910113844,684997
693407.971655104542151,6864693.521431120112538,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:00:47,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374463.000,108.796,3.1,3.0,,48.882225680,2.910113983,684998
693407.97309249616228,6864693.505555178038776,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:00:48,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374464.000,108.806,3.1,3.0,,48.882225537,2.910114003,684999
693407.969163669971749,6864693.499629397876561,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:00:49,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374465.000,108.823,3.1,3.0,,48.882225483,2.910113950,685000
693407.967882176977582,6864693.491206964477897,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:00:50,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374466.000,108.838,3.1,3.0,,48.882225408,2.910113932,685001
693407.967296885675751,6864693.484560123644769,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:00:51,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374467.000,108.855,3.1,3.0,,48.882225348,2.910113925,685002
693407.968817168381065,6864693.482212965376675,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:00:52,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374468.000,108.868,3.1,3.0,,48.882225327,2.910113945,685003
693407.96635953639634,6864693.493672913871706,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:00:53,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374469.000,108.843,3.1,3.0,,48.882225430,2.910113912,685004
693407.960834491066635,6864693.53729510679841,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:00:54,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374470.000,108.779,3.1,3.0,,48.882225822,2.910113836,685005
693407.958241115207784,6864693.567546701058745,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:00:55,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374471.000,108.762,3.1,3.0,,48.882226094,2.910113800,685006
693407.956669595325366,6864693.585496695712209,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:00:56,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374472.000,108.760,3.1,3.0,,48.882226255,2.910113778,685007
693407.954319258918986,6864693.596751992590725,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:00:57,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374473.000,108.760,3.1,3.0,,48.882226357,2.910113746,685008
693407.94988095969893,6864693.605867681093514,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:00:58,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374474.000,108.774,3.1,3.0,,48.882226439,2.910113685,685009
693407.948171882308088,6864693.611142288893461,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:00:59,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374475.000,108.777,3.1,3.0,,48.882226486,2.910113662,685010
693407.94765586394351,6864693.616289961151779,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:01:00,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374476.000,108.792,3.1,3.0,,48.882226532,2.910113655,685011
693407.947399568627588,6864693.618539980612695,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:01:01,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374477.000,108.800,3.1,3.0,,48.882226553,2.910113651,685012
693407.944861009716988,6864693.620622655376792,1.5,1.0,Non corrige,Geo 7X,2016/08/25,10:01:02,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374478.000,108.804,3.1,3.0,,48.882226571,2.910113617,685013
693407.939525665715337,6864693.638993598520756,1.3,0.8,Non corrige,Geo 7X,2016/08/25,10:01:03,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374479.000,108.811,2.9,2.5,,48.882226736,2.910113544,685014
693407.924738966743462,6864693.712090043351054,1.3,0.8,Non corrige,Geo 7X,2016/08/25,10:01:04,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374480.000,108.830,2.9,2.5,,48.882227394,2.910113341,685015
693407.905629854183644,6864693.799479190260172,1.3,0.8,Non corrige,Geo 7X,2016/08/25,10:01:05,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374481.000,108.865,2.9,2.5,,48.882228179,2.910113079,685016
693407.877495354856364,6864693.947012557648122,1.3,0.8,Non corrige,Geo 7X,2016/08/25,10:01:06,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374482.000,108.907,2.9,2.5,,48.882229506,2.910112693,685017
693407.813038427033462,6864694.28284652531147,1.3,0.8,Non corrige,Geo 7X,2016/08/25,10:01:07,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374483.000,108.987,2.9,2.5,,48.882232525,2.910111809,685018
693407.761606936226599,6864694.492473008111119,1.3,0.8,Non corrige,Geo 7X,2016/08/25,10:01:08,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374484.000,109.069,2.9,2.5,,48.882234410,2.910111104,685019
693407.733281356282532,6864694.59557574428618,1.3,0.8,Non corrige,Geo 7X,2016/08/25,10:01:09,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374485.000,109.147,2.9,2.5,,48.882235337,2.910110716,685020
693407.714308597147465,6864694.645276537165046,1.3,0.8,Non corrige,Geo 7X,2016/08/25,10:01:10,Nouveau,Pntposn,MAJEC_082510A.SSF,1,1,,1911,374486.000,109.211,2.9,2.5,,48.882235784,2.910110457,685021
