WKT,Edge ID,From Node,To Node ID,Two Way,Speed (m/s,Vertex Cou
"LINESTRING (1685868.020305171143264 247200.663098288263427,1685777.499590232037008 247242.283244464517338)",884147800426,884147800484,884147800489,1,11.111111110000000,2
"LINESTRING (1685777.499590232037008 247242.283244464517338,1685623.372072838945314 247314.314592356909998)",884147800427,884147800489,884147800464,1,11.111111110000000,2
"LINESTRING (1686660.904676540521905 244787.2334721875377,1686647.976399097824469 244764.941365424834657,1686642.994509007781744 244743.496382051234832,1686642.638586002867669 244721.974905229435535,1686646.601262268377468 244681.790204700053437)",884147801455,884147801382,884147801383,0,5.833333333000000,5
"LINESTRING (1688206.321204310283065 245264.700020001851954,1688198.276919809868559 245338.221028092288179,1688196.16485317540355 245370.546785890124738,1688189.262970446608961 245553.642719673342071)",884147800428,884147800490,884147800450,1,16.666666670000001,4
"LINESTRING (1686646.601262268377468 244681.790204700053437,1686678.611116619547829 244658.755052948719822,1686710.332211814355105 244658.230607616598718)",884147801456,884147801383,884147801384,0,5.833333333000000,3
"LINESTRING (1690298.279932432342321 241170.542758797877468,1690175.061569013167173 241438.712176142609678,1690114.834194082068279 241556.139888156991219,1690061.835117527050897 241630.3950086357072,1690011.176253237295896 241686.020252613845514,1689884.919205789687112 241808.442862062889617,1689790.569981878856197 241900.988650110870367,1689737.509095785673708 241971.331670690793544,1689686.543585791951045 242048.490134549094364,1689645.977369277738035 242114.714796263171593,1689615.389669454889372 242184.690184416045668,1689584.429708878044039 242272.284972325578565,1689478.537731285672635 242588.122616926615592,1689379.922972422791645 242863.722566082287813,1689311.703549222787842 243057.60808727593394,1689247.470196827780455 243212.287949533638312,1689183.045370782027021 243355.229016990371747,1689123.443280984414741 243469.71429160606931,1689037.275079868733883 243616.926636229210999,1688955.493578942259774 243749.389677950268378,1688620.596973915817216 244207.94166185031645,1688553.474265643861145 244306.896167857164983,1688444.845093922456726 244454.480499830533518,1688367.407876846147701 244569.261515651916852,1688329.607945219613612 244642.293280726560624,1688303.832429577130824 244722.955463827383937,1688282.924510673852637 244818.215344275522511,1688271.930495640728623 244873.19304262867081)",884147800429,884147800491,884147800492,1,16.666666670000001,28
"LINESTRING (1686710.332211814355105 244658.230607616598718,1686737.97720975568518 244691.043152853118954,1686751.018637188477442 244720.183064194890903,1686756.178307660622522 244752.388815606478602,1686767.837675671558827 244857.875860488158651)",884147801457,884147801384,884147801385,0,5.833333333000000,5
"LINESTRING (1688231.145781665341929 245126.320926369866356,1688206.321204310283065 245264.700020001851954)",884147800430,884147800493,884147800490,1,16.666666670000001,2
"LINESTRING (1686646.601262268377468 244681.790204700053437,1686664.615091824438423 244571.898503433098085)",884147801458,884147801383,884147801386,0,5.833333333000000,2
"LINESTRING (1688271.930495640728623 244873.19304262867081,1688251.634563643019646 245005.626475507480791)",884147800431,884147800492,884147800494,1,16.666666670000001,2
"LINESTRING (1686664.615091824438423 244571.898503433098085,1686710.332211814355105 244658.230607616598718)",884147801459,884147801386,884147801384,0,5.833333333000000,2
"LINESTRING (1688251.634563643019646 245005.626475507480791,1688231.145781665341929 245126.320926369866356)",884147800432,884147800494,884147800493,1,16.666666670000001,2
"LINESTRING (1686670.493347672512755 244487.64889791214955,1686664.615091824438423 244571.898503433098085)",884147801460,884147801387,884147801386,1,5.833333333000000,2
"LINESTRING (1688186.115589853841811 246727.913004655769328,1688197.890278394334018 247122.060989980876911)",884147800433,884147800495,884147800496,1,16.666666670000001,2
"LINESTRING (1686670.493347672512755 244487.64889791214955,1686638.594006376340985 244477.412672043341445,1686608.8551965279039 244477.904450797068421,1686557.906680787680671 244514.952185180853121,1686459.616438264027238 244527.341852935584029,1686398.577352907275781 244553.793293468945194,1686345.115560300881043 244598.711334068066208,1686296.522959288209677 244658.226675396581413,1686265.822320244740695 244720.381474828958744,1686260.908042061608285 244742.968720396689605,1686263.972599053755403 244768.359420087770559,1686286.137054187478498 244789.519851220451528,1686417.099006397183985 244794.201889958407264,1686525.915624540764838 244818.821479033824289,1686604.492123782169074 244813.607760668441188,1686660.904676540521905 244787.2334721875377)",884147801461,884147801387,884147801382,1,5.833333333000000,16
"LINESTRING (1688189.262970446608961 245553.642719673342071,1688173.576028740266338 245805.379302395478589)",884147800434,884147800450,884147800497,1,16.666666670000001,2
