X,Y,Date (UTC),Time (UTC),Latitude,Longitude,field_5
1686462.894975865026936,246133.881616829748964,17-Jan-2009,20:27:37,47.66748333,-122.1070833,
1686467.085262076696381,246139.893790663802065,17-Jan-2009,20:27:38,47.6675,-122.1070667,
1686467.085262076696381,246139.893790663802065,17-Jan-2009,20:27:39,47.6675,-122.1070667,
1686475.414490095805377,246145.83748291520169,17-Jan-2009,20:27:40,47.66751667,-122.1070333,
1686487.833322551101446,246151.709867081663106,17-Jan-2009,20:27:41,47.66753333,-122.1069833,
1686504.241275830660015,246151.438402442960069,17-Jan-2009,20:27:42,47.66753333,-122.1069167,
1686524.687638984061778,246145.022284182021394,17-Jan-2009,20:27:43,47.66751667,-122.1068333,
1686549.324214226333424,246144.614732839021599,17-Jan-2009,20:27:44,47.66751667,-122.1067333,
1686582.164769846247509,246144.071516672411235,17-Jan-2009,20:27:45,47.66751667,-122.1066,
1686615.005326407728717,246143.528357390197925,17-Jan-2009,20:27:46,47.66751667,-122.1064667,
1686647.870520481374115,246142.984847587737022,17-Jan-2009,20:27:47,47.66751667,-122.1063333,
1686680.711078931810334,246142.441802116110921,17-Jan-2009,20:27:48,47.66751667,-122.1062,
1686713.551638311240822,246141.898813524225261,17-Jan-2009,20:27:49,47.66751667,-122.1060667,
1686742.302526408340782,246141.42349062077119,17-Jan-2009,20:27:50,47.66751667,-122.10595,
1686771.053415226750076,246140.948211317358073,17-Jan-2009,20:27:51,47.66751667,-122.1058333,
1686803.893977200845256,246140.405379216215806,17-Jan-2009,20:27:52,47.66751667,-122.1057,
1686832.64486756362021,246139.930193306878209,17-Jan-2009,20:27:53,47.66751667,-122.1055833,
1686861.371122059877962,246139.455458132841159,17-Jan-2009,20:27:54,47.66751667,-122.1054667,
1686890.122013870393857,246138.980359381937888,17-Jan-2009,20:27:55,47.66751667,-122.10535,
1686922.962579248240218,246138.437733521219343,17-Jan-2009,20:27:56,47.66751667,-122.1052167,
1686951.713472596835345,246137.962728173588403,17-Jan-2009,20:27:57,47.66751667,-122.1051,
1686976.350057011004537,246137.555731709493557,17-Jan-2009,20:27:58,47.66751667,-122.105,
1687009.291003497550264,246143.089453996479278,17-Jan-2009,20:27:59,47.66753333,-122.1048667,
1687038.041889812098816,246142.614579567773035,17-Jan-2009,20:28:00,47.66753333,-122.10475,
1687070.882448916556314,246142.072209931910038,17-Jan-2009,20:28:01,47.66753333,-122.1046167,
1687103.747645546449348,246141.52949036823702,17-Jan-2009,20:28:02,47.66753333,-122.1044833,
1687140.70251544797793,246140.919304026814643,17-Jan-2009,20:28:03,47.66753333,-122.1043333,
1687177.657386533217505,246140.309189714898821,17-Jan-2009,20:28:04,47.66753333,-122.1041833,
1687214.612258814740926,246139.699147430277662,17-Jan-2009,20:28:05,47.66753333,-122.1040333,
1687255.656805019825697,246139.021678236895241,17-Jan-2009,20:28:06,47.66753333,-122.1038667,
1687304.929971663281322,246138.208507236355217,17-Jan-2009,20:28:07,47.66753333,-122.1036667,
1687354.203140433644876,246137.395464294822887,17-Jan-2009,20:28:08,47.66753333,-122.1034667,
1687403.47631130553782,246136.582549407612532,17-Jan-2009,20:28:09,47.66753333,-122.1032667,
1687448.559572777012363,246129.761017738928786,17-Jan-2009,20:28:10,47.66751667,-122.1030833,
1687489.604140475392342,246129.084054980397923,17-Jan-2009,20:28:11,47.66751667,-122.1029167,
1687530.673346242401749,246128.406774819275597,17-Jan-2009,20:28:12,47.66751667,-122.10275,
1687559.424254810204729,246127.93269101268379,17-Jan-2009,20:28:13,47.66751667,-122.1026333,
1687588.150527493096888,246127.459056988824159,17-Jan-2009,20:28:14,47.66751667,-122.1025167,
1687612.887311117257923,246133.129089712223504,17-Jan-2009,20:28:15,47.66753333,-122.1024167,
1687633.434227745281532,246132.790368975955062,17-Jan-2009,20:28:16,47.66753333,-122.1023333,
1687645.852758427383378,246138.667159225529758,17-Jan-2009,20:28:17,47.66755,-122.1022833,
1687649.942431253381073,246138.599745329236612,17-Jan-2009,20:28:18,47.66755,-122.1022667,
1687649.942431253381073,246138.599745329236612,17-Jan-2009,20:28:19,47.66755,-122.1022667,
1687649.942431253381073,246138.599745329236612,17-Jan-2009,20:28:20,47.66755,-122.1022667,
1687649.942431253381073,246138.599745329236612,17-Jan-2009,20:28:21,47.66755,-122.1022667,
1687649.942431253381073,246138.599745329236612,17-Jan-2009,20:28:22,47.66755,-122.1022667,
1687649.942431253381073,246138.599745329236612,17-Jan-2009,20:28:23,47.66755,-122.1022667,
1687649.942431253381073,246138.599745329236612,17-Jan-2009,20:28:24,47.66755,-122.1022667,
1687649.942431253381073,246138.599745329236612,17-Jan-2009,20:28:25,47.66755,-122.1022667,
1687649.942431253381073,246138.599745329236612,17-Jan-2009,20:28:26,47.66755,-122.1022667,
1687649.942431253381073,246138.599745329236612,17-Jan-2009,20:28:27,47.66755,-122.1022667,
1687649.942431253381073,246138.599745329236612,17-Jan-2009,20:28:28,47.66755,-122.1022667,
1687649.942431253381073,246138.599745329236612,17-Jan-2009,20:28:29,47.66755,-122.1022667,
1687649.942431253381073,246138.599745329236612,17-Jan-2009,20:28:30,47.66755,-122.1022667,
1687649.942431253381073,246138.599745329236612,17-Jan-2009,20:28:31,47.66755,-122.1022667,
1687650.042665112297982,246144.679594915884081,17-Jan-2009,20:28:32,47.66756667,-122.1022667,
1687650.042665112297982,246144.679594915884081,17-Jan-2009,20:28:33,47.66756667,-122.1022667,
1687650.042665112297982,246144.679594915884081,17-Jan-2009,20:28:34,47.66756667,-122.1022667,
1687650.042665112297982,246144.679594915884081,17-Jan-2009,20:28:35,47.66756667,-122.1022667,
1687650.042665112297982,246144.679594915884081,17-Jan-2009,20:28:36,47.66756667,-122.1022667,
1687650.042665112297982,246144.679594915884081,17-Jan-2009,20:28:37,47.66756667,-122.1022667,
1687650.042665112297982,246144.679594915884081,17-Jan-2009,20:28:38,47.66756667,-122.1022667,
1687650.042665112297982,246144.679594915884081,17-Jan-2009,20:28:39,47.66756667,-122.1022667,
