latitude,longitude,altitude,date
48.870898,2.345212,514.56,2009-04-27 08:56:49
48.870998,2.345326,-74.17,2009-04-27 08:56:50
48.870911,2.345341,232.52,2009-04-27 08:56:55
48.870824,2.34522,82.93,2009-04-27 08:56:57
48.870797,2.345156,-58.9,2009-04-27 08:57:02
48.871012,2.345159,15.04,2009-04-27 08:57:05
48.870944,2.345076,92.00,2009-04-27 08:57:10
48.870862,2.344988,88.7,2009-04-27 08:57:13
48.87081,2.344973,496.82,2009-04-27 08:57:18
48.870806,2.344983,-131.61,2009-04-27 08:57:23
48.87079,2.34496,-152.6,2009-04-27 08:57:28
48.870756,2.344892,-80.22,2009-04-27 08:57:33
48.870717,2.344859,-54.87,2009-04-27 08:57:38
48.870723,2.344975,371.88,2009-04-27 08:57:43
48.87071,2.344955,-157.8,2009-04-27 08:57:48
48.870688,2.344908,-240.29,2009-04-27 08:57:53
48.870655,2.34487,525.2,2009-04-27 08:57:58
48.870676,2.344922,-419.08,2009-04-27 08:58:03
48.870676,2.344922,-169.91,2009-04-27 08:58:06
48.870674,2.344919,64.59,2009-04-27 08:58:08
48.870709,2.344979,293.59,2009-04-27 08:58:13
48.870705,2.345032,-188.82,2009-04-27 08:58:18
48.870767,2.345083,311.32,2009-04-27 08:58:23
48.870767,2.345083,-235.68,2009-04-27 08:58:26
48.870773,2.345085,241.14,2009-04-27 08:58:28
48.870783,2.345065,352.69,2009-04-27 08:58:33
48.870808,2.344994,-189.07,2009-04-27 08:58:38
48.870834,2.344969,207.91,2009-04-27 08:58:43
48.870811,2.345031,201.55,2009-04-27 08:58:48
48.870793,2.345063,-311.86,2009-04-27 08:58:53
48.870793,2.345113,176.46,2009-04-27 08:58:58
48.870798,2.345158,248.31,2009-04-27 08:59:03
48.870778,2.345181,-98.5,2009-04-27 08:59:08
48.87079,2.345224,243.23,2009-04-27 08:59:13
48.870839,2.345304,103.8,2009-04-27 08:59:18
48.870872,2.345341,93.02,2009-04-27 08:59:23
48.870906,2.345381,-494.2,2009-04-27 08:59:28
48.870895,2.345381,523.54,2009-04-27 08:59:33
48.870887,2.345395,396.16,2009-04-27 08:59:38
48.870919,2.345453,173.28,2009-04-27 08:59:43
48.870934,2.345487,167.1,2009-04-27 08:59:48
48.870951,2.345491,253.16,2009-04-27 08:59:53
48.870993,2.345434,-210.44,2009-04-27 08:59:58
48.870984,2.345326,74.9,2009-04-27 09:00:03
48.871023,2.345295,207.46,2009-04-27 09:00:08
